"templateName","database/templates/skilltree.tpl",,
"ActorName","NatureSkillTree",,
"Class","SkillTree",,
"FileDescription",,,
,,,
"skillName1","records/skills/playerclass05/regrowth.dbr",245,150
"skillName2","records/skills/playerclass05/regrowth_acceleratedgrowth.dbr",325,150
"skillName3","records/skills/playerclass05/regrowth_dissemination.dbr",485,150
"skillName4","records/skills/playerclass05/briarward.dbr",405,220
"skillName5","records/skills/playerclass05/briarward_petmodifier_stingingnettle.dbr",485,220
"skillName6","records/skills/playerclass05/briarward_sanctuary.dbr",645,220
"skillName7","records/skills/playerclass05/heartofoak.dbr",328,80
"skillName8","records/skills/playerclass05/heartofoak_tranquility.dbr",485,80
"skillName9","records/skills/playerclass05/heartofoak_permanence.dbr",565,80
"skillName10","records/skills/playerclass05/plague.dbr",3525,430
"skillName11","records/skills/playerclass05/plague_fatigue.dbr",405,430
"skillName12","records/skills/playerclass05/plague_susceptibility.dbr",565,430
"skillName13","records/skills/playerclass05/wolfsummons.dbr",245,290
"skillName14","records/skills/playerclass05/wolf_petmodifer_maul.dbr",325,290
"skillName15","records/skills/playerclass05/wolf_petmodifer_survivalinstinct.dbr",405,290
"skillName16","records/skills/playerclass05/wolf_petmodifier_strengthofthepack.dbr",565,290
"skillName17","records/skills/playerclass05/sylvannymphsummons.dbr",485,360
"skillName18","records/skills/playerclass05/sylvannymph_petmodifier_overgrowth.dbr",565,360
"skillName19","records/skills/playerclass05/sylvannymph_petmodifier_nature'swrath.dbr",645,360
"skillName20","records/skills/playerclass05/renewal.dbr",645,150
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"skillLevel21",0,,
"skillName22",,,
"skillLevel22",0,,
"skillName23",,,
"skillLevel23",0,,
"skillName24",,,
"skillLevel24",0,,
"skillName25",,,
"skillLevel25",0,,
"skillName26",,,
"skillLevel26",,,
"skillName27",,,
"skillLevel27",,,
"skillName28",,,
"skillLevel28",,,
"skillName29",,,
"skillLevel29",,,
"skillName30",,,
"skillLevel30",,,
"skillName31",,,
"skillLevel31",,,
"skillName32",,,
"skillLevel32",,,
"skillName33",,,
"skillLevel33",,,
"skillName34",,,
"skillLevel34",,,
"skillName35",,,
"skillLevel35",,,
